,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitching Data for 547888 for game: gid_2017_04_27_nyamlb_bosmlb_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
2017-04-27,170427_231609bos,d7376058-eea9-46fb-bfd7-249b0012a87d,5,1,547888,456030,4,Groundout,B,22,3.285,1.487,-5.22835,10.4782,FF,19,0.917,R,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,206.486,-0.820067,1,nya,0.0759185911,-130.7397235147,0.3042587997,-4.4807417802,8.6032079684,-5.22835,10.4782,-1.399512662,55,5.4362155955,7.082413219,-133.669894541,-5.3641981188,-8.0670058365,25.8255133972,-16.6900179749,91.34,0.8551337324,1.7394064691,0.977642,1.64876,0
2017-04-27,170427_231626bos,24621343-9c2d-4f9b-b09b-95498ab0044d,5,2,547888,456030,4,Groundout,B,23,3.285,1.487,-4.77853,8.40869,FF,24,0.916,R,0,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,209.578,-2.22687,1,nya,0.0773252962,-128.4240322576,0.3090933676,-4.1622882944,6.8041147752,-4.77853,8.40869,-1.5414650652,55,5.4508680403,7.4671760748,-131.1140298536,-7.3922734196,-7.2610852356,23.2718921051,-20.3092654114,89.68,0.974918277,0.4800882375,1.09891,0.384046,10
2017-04-27,170427_231649bos,167e3e37-5303-4f2f-a308-052cb32ed651,5,3,547888,456030,4,Groundout,B,24,3.285,1.487,-2.46986,8.39288,FF,23,0.876,R,0,2,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,196.361,-1.30929,1,nya,0.077378257,-128.2798404252,0.3100263674,-1.8424906678,6.6239591553,-2.46986,8.39288,-1.5873489163,55,5.3345868735,6.0661698857,-131.1356905093,-5.0736089477,-3.1948964233,24.6950621948,-20.6929915314,89.57,0.7053795231,1.3001961978,0.83011,1.20895,20
2017-04-27,170427_231708bos,7dff4779-9686-47ad-883b-2259f7d5f182,5,4,547888,456030,4,Groundout,S,25,3.285,1.487,-5.21149,9.99721,FF,22,0.916,R,0,3,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,207.501,-0.894463,1,nya,0.0775366578,-127.9928044958,0.3109842832,-4.5308310911,8.2512561765,-5.21149,9.99721,-1.636970223,55,5.4091175035,5.4719897757,-130.9171850644,-4.9268417362,-7.808178627,25.2383780823,-17.9592507248,89.4,-0.0125760123,1.6699752449,0.106676,1.58188,30
2017-04-27,170427_231732bos,7a958b5b-d5d0-48c3-a4fc-938ba33348d5,5,5,547888,456030,4,Groundout,X,26,3.285,1.487,-2.41272,9.711,FF,17,0.897,R,1,3,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",193.914,-0.4229,1,nya,0.077352683,-128.2720330228,0.3105721668,-1.8432189566,8.1233257617,-2.41272,9.711,-1.590893226,55,5.3538397696,4.1301872125,-131.278365695,-3.7886766658,-3.1849352951,26.009828125,-18.1425412064,89.59,-0.1200013936,2.0918730736,0.000626852,2.00581,31
2017-04-27,170427_231807bos,0c1e9f3e-ebd9-476b-8f45-c26a07d49947,2,1,547888,643217,5,Lineout,B,30,3.301,1.504,3.04502,-5.71532,CU,21,0.942,L,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,28.0163,-1.64117,1,nya,0.0926914508,-107.0130711993,0.3727593648,3.7564503119,-7.715475654,3.04502,-5.71532,-1.4939176784,55,5.5337049587,0.6680743825,-109.6179033393,1.7255731702,4.5057726269,18.8095774994,-41.4335291748,74.75,-0.5635415485,1.0012146495,-0.444918,0.927907,0
2017-04-27,170427_231829bos,ec1ad26d-ac0e-4772-b6be-f7002766062d,2,2,547888,643217,5,Lineout,X,31,3.301,1.504,-8.95299,8.02626,SI,21,0.914,L,0,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",228.103,-0.94383,1,nya,0.0757689655,-130.9242156745,0.3045742449,-8.3337291375,6.5153472269,-8.95299,8.02626,-1.5197211088,55,5.4212109956,5.3585367983,-134.0795675253,-4.7570380539,-14.9727570648,27.8726725922,-20.4732306366,91.55,-0.5877027918,1.6471493816,-0.474677,1.55447,10
2017-04-27,170427_231907bos,d7323c85-43fe-4196-b21c-b4d93a116387,2,1,547888,605141,6,Lineout,S,35,3.285,1.487,4.49571,-6.33638,CU,13,0.939,R,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,35.3281,0.25038,1,nya,0.0917172519,-108.1255581804,0.3692857407,5.2043299906,-8.3464616848,4.49571,-6.33638,-1.3402467499,55,5.5366271506,2.351957383,-110.8300200267,5.0806582051,6.3604596024,19.7385669098,-42.379608429,75.66,0.6657490491,2.6772334098,0.792526,2.61109,0
2017-04-27,170427_231917bos,3d3039c1-c739-49fa-93ed-c87ed4c1e7fe,2,2,547888,605141,6,Lineout,X,36,3.285,1.487,-4.89756,7.21476,FF,18,0.91,R,1,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",214.141,-0.343898,1,nya,0.0770254067,-128.9099588821,0.30807278,-4.2665469883,5.6153789466,-4.89756,7.21476,-1.6301411051,55,5.3946876002,6.972788237,-131.6523719318,-2.9073899653,-7.4923598404,23.8189845428,-22.3179953461,89.91,0.6498300783,2.1656536927,0.772583,2.07684,1
2017-04-27,170427_232927bos,adeb862d-77b0-4c6f-a6cd-cb24a528d361,6,1,547888,434670,10,Single,S,66,3.467,1.589,-2.95249,9.48172,FF,18,0.837,R,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,197.259,-0.286593,2,nya,0.0776795568,-127.6868125635,0.3124806639,-2.2859709771,7.6073817456,-2.95249,9.48172,-1.6293310674,55,5.3728264606,5.2409714928,-130.8157990237,-2.9567232109,-3.9018733139,26.961705719,-19.1941283112,89.29,0.2583194685,2.3433870097,0.380682,2.25889,0
